bank_id,date,description,ref_number,credit,debit
BNK00375,2026-07-08,"NEFT CR Bentley, Lynch and H",TXN100365,36538.03,0.0
BNK00031,2026-06-24,"NEFT CR Liu, Baker and Mason",TXN100029,13331.04,0.0
BNK00111,2026-08-21,"NEFT CR Jackson, Miller and ",TXN100109,27849.99,0.0
BNK00106,2026-07-22,"NEFT CR Martinez, Fisher and",TXN100105,657.41,0.0
BNK00046,2026-08-10,NEFT CR Ryan Ltd,TXN100045,37323.94,0.0
BNK00193,2026-08-20,"NEFT CR Holloway, Morse and ",TXN100190,46943.03,0.0
BNK00297,2026-08-04,NEFT CR Garner LLC,TXN100288,19110.2,0.0
BNK00366,2026-08-22,NEFT CR Mitchell and Sons,TXN100356,29525.96,0.0
BNK00092,2026-07-31,NEFT CR Garrison and Sons,TXN100090,33031.84,0.0
BNK00502,2026-07-26,NEFT CR Aguilar-Berry,TXN100488,24830.14,0.0
BNK00390,2026-07-13,NEFT CR Stewart LLC,TXN100380,19704.71,0.0
BNK00402,2026-07-28,"NEFT CR Bolton, Hill and Whi",TXN100392,18195.15,0.0
BNK00325,2026-08-05,NEFT CR Sanchez PLC,TXN100316,17881.35,0.0
BNK00307,2026-07-07,"NEFT CR Sandoval, Jones and ",TXN100298,30638.4,0.0
BNK00020,2026-07-19,NEFT CR Clark PLC,TXN100019,8364.17,0.0
BNK00380,2026-07-07,NEFT CR Patterson-Mendez,TXN100370,21190.69,0.0
BNK00361,2026-08-08,NEFT CR Richardson PLC,TXN100351,43991.66,0.0
BNK00321,2026-08-01,"NEFT CR Williams, Smith and ",TXN100312,45901.02,0.0
BNK00442,2026-07-05,NEFT CR Cole-Thomas,TXN100432,8910.94,0.0
BNK00290,2026-08-14,NEFT CR Chavez-Jacobs,TXN100281,40925.36,0.0
BNK00005,2026-06-26,"NEFT CR Gonzalez, Santos and",TXN100004,11054.65,0.0
BNK00509,2026-07-15,NEFT CR Becker PLC,TXN100495,26938.72,0.0
BNK00114,2026-06-26,NEFT CR Sanchez Group,TXN100112,32780.15,0.0
BNK00173,2026-07-11,NEFT CR Smith-Ferguson,TXN100171,26426.23,0.0
BNK00497,2026-07-28,NEFT CR Bradley-Todd,TXN100484,14220.44,0.0
BNK00267,2026-08-15,NEFT CR Matthews-Barber,TXN100259,46234.4,0.0
BNK00195,2026-08-15,NEFT CR Kim-George,TXN100192,45341.41,0.0
BNK00026,2026-08-18,NEFT CR Hernandez and Sons,TXN100024,41179.23,0.0
BNK00333,2026-07-25,"NEFT CR Stewart, Gonzales an",TXN100325,28420.01,0.0
BNK00394,2026-07-26,NEFT CR Martinez-Richardson,TXN100384,21298.43,0.0
BNK00317,2026-07-13,NEFT CR Dougherty-Saunders,TXN100308,33506.27,0.0
BNK00465,2026-08-19,"NEFT CR Perez, Williams and ",TXN100452,33480.7,0.0
BNK00048,2026-07-12,NEFT CR Davis Group,TXN100047,1422.14,0.0
BNK00512,2026-08-12,NEFT CR Armstrong and Sons,TXN100498,31323.33,0.0
BNK00146,2026-07-29,NEFT CR Obrien Ltd,TXN100144,32416.12,0.0
BNK00365,2026-08-16,NEFT CR Dawson PLC,TXN100356,10364.69,0.0
BNK00296,2026-06-30,NEFT CR Decker Inc,TXN100287,36390.66,0.0
BNK00456,2026-07-14,NEFT CR Norton-Morgan,TXN100443,47734.46,0.0
BNK00179,2026-08-10,NEFT CR Ray Ltd,TXN100177,29038.12,0.0
BNK00080,2026-06-28,NEFT CR Walters LLC,TXN100078,48566.01,0.0
BNK00036,2026-07-23,NEFT CR Brown PLC,TXN100035,21002.15,0.0
BNK00420,2026-08-16,NEFT CR Salazar Inc,TXN100410,23959.55,0.0
BNK00285,2026-08-13,NEFT CR Ellis-Maynard,TXN100276,22662.42,0.0
BNK00251,2026-08-05,NEFT CR Riley Ltd,TXN100243,3773.54,0.0
BNK00242,2026-08-20,NEFT CR Fowler-Coleman,TXN100234,11392.96,0.0
BNK00050,2026-06-29,"NEFT CR Valdez, Lucas and Br",TXN100049,46487.6,0.0
BNK00010,2026-07-27,"NEFT CR Baker, Williams and ",TXN100009,10860.01,0.0
BNK00370,2026-08-01,"NEFT CR Brooks, Hughes and M",TXN100360,26501.84,0.0
BNK00451,2026-08-04,NEFT CR Khan Ltd,TXN100440,15499.78,0.0
BNK00457,2026-08-01,NEFT CR Gonzalez PLC,TXN100444,36402.39,0.0
BNK00203,2026-08-01,"NEFT CR Johnson, Miller and ",TXN100200,34700.73,0.0
BNK00345,2026-06-30,NEFT CR Davis-Gregory,TXN100337,46151.61,0.0
BNK00131,2026-08-03,"NEFT CR Adkins, Payne and Mo",TXN100129,6048.23,0.0
BNK00007,2026-06-27,NEFT CR Wolfe LLC,TXN100006,26916.84,0.0
BNK00433,2026-07-26,"NEFT CR Williams, Shields an",TXN100423,40495.03,0.0
BNK00369,2026-08-06,NEFT CR Arias-Perry,TXN100359,42156.76,0.0
BNK00233,2026-07-03,"NEFT CR Padilla, Garcia and ",TXN100226,31221.92,0.0
BNK00052,2026-08-15,NEFT CR Taylor-White,TXN100051,37670.77,0.0
BNK00422,2026-08-09,"NEFT CR Jenkins, Ortiz and A",TXN100412,861.8,0.0
BNK00047,2026-08-18,"NEFT CR Kennedy, Mueller and",TXN100046,44826.98,0.0
BNK00431,2026-08-14,NEFT CR Shaw and Sons,TXN100421,6089.79,0.0
BNK00172,2026-07-03,NEFT CR Phillips LLC,TXN100170,18209.56,0.0
BNK00184,2026-08-20,NEFT CR Torres-Oliver,TXN100182,6387.51,0.0
BNK00353,2026-07-17,NEFT CR Meza-Tucker,TXN100345,46263.36,0.0
BNK00320,2026-07-16,"NEFT CR Hansen, Barnett and ",TXN100311,33375.75,0.0
BNK00469,2026-08-03,NEFT CR Gutierrez and Sons,TXN100456,42781.36,0.0
BNK00109,2026-07-25,NEFT CR Ramos-Lowe,TXN100108,5863.56,0.0
BNK00002,2026-07-15,NEFT CR Doyle Ltd,TXN100001,12377.96,0.0
BNK00289,2026-07-20,"NEFT CR Schultz, Kelley and ",TXN100280,40252.2,0.0
BNK00450,2026-08-08,NEFT CR Herrera-Boone,TXN100439,29124.6,0.0
BNK00350,2026-07-24,"NEFT CR Bennett, Conner and ",TXN100342,2694.89,0.0
BNK00127,2026-07-26,"NEFT CR Owens, Brown and Wal",TXN100125,47887.96,0.0
BNK00245,2026-07-28,"NEFT CR Phillips, Lyons and ",TXN100237,29865.85,0.0
BNK00247,2026-06-28,"NEFT CR Mcgee, Wall and Leac",TXN100239,8110.9,0.0
BNK00234,2026-07-25,NEFT CR Williams Inc,TXN100227,42630.13,0.0
BNK00091,2026-07-18,NEFT CR Moore-Haynes,TXN100089,15717.66,0.0
BNK00056,2026-07-10,NEFT CR Tucker-Lewis,TXN100055,48497.55,0.0
BNK00166,2026-07-24,"NEFT CR Perkins, Kennedy and",TXN100164,43871.05,0.0
BNK00118,2026-07-11,"NEFT CR Holmes, Williams and",TXN100116,38343.21,0.0
BNK00454,2026-07-31,"NEFT CR Cole, Pierce and Bry",TXN100442,42077.51,0.0
BNK00101,2026-07-12,NEFT CR Williams-Graham,TXN100100,8022.38,0.0
BNK00409,2026-07-21,NEFT CR Horne Inc,TXN100399,42496.14,0.0
BNK00006,2026-07-15,NEFT CR Lawrence-Pacheco,TXN100005,27542.09,0.0
BNK00411,2026-07-05,NEFT CR Hampton-Padilla,TXN100401,4921.2,0.0
BNK00295,2026-07-30,NEFT CR Mcdaniel Group,TXN100286,41905.98,0.0
BNK00413,2026-07-08,NEFT CR Farrell Group,TXN100403,15583.2,0.0
BNK00196,2026-08-04,"NEFT CR Morris, Wright and D",TXN100193,18850.58,0.0
BNK00446,2026-07-12,NEFT CR Jimenez PLC,TXN100435,45119.05,0.0
BNK00486,2026-07-07,NEFT CR Oconnell and Sons,TXN100473,2604.2,0.0
BNK00153,2026-06-30,"NEFT CR Holland, Smith and F",TXN100151,32389.06,0.0
BNK00049,2026-07-28,NEFT CR Jenkins-Shields,TXN100048,12099.13,0.0
BNK00480,2026-07-01,NEFT CR Bradshaw-Douglas,TXN100467,14732.89,0.0
BNK00274,2026-08-20,NEFT CR Williams LLC,TXN100266,17917.94,0.0
BNK00084,2026-07-08,"NEFT CR Johnson, Wood and Tr",TXN100082,28721.57,0.0
BNK00262,2026-08-17,NEFT CR Herman-Walker,TXN100254,41615.07,0.0
BNK00323,2026-07-22,NEFT CR Sullivan LLC,TXN100314,22621.86,0.0
BNK00108,2026-07-23,NEFT CR Clark-Floyd,TXN100107,27175.64,0.0
BNK00099,2026-06-27,NEFT CR Carlson LLC,TXN100097,26000.0,0.0
BNK00206,2026-08-07,NEFT CR Brown-Stone,TXN100202,40352.29,0.0
BNK00013,2026-07-22,NEFT CR Wyatt Inc,TXN100012,22795.93,0.0
BNK00429,2026-07-21,NEFT CR King Ltd,TXN100419,42116.93,0.0
BNK00362,2026-08-05,NEFT CR Hammond-Strickland,TXN100352,18917.42,0.0
BNK00259,2026-07-19,"NEFT CR Martinez, Richardson",TXN100251,26606.49,0.0
BNK00116,2026-07-12,"NEFT CR Horton, Snyder and S",TXN100114,35902.51,0.0
BNK00462,2026-08-17,NEFT CR Wells-Smith,TXN100449,12471.47,0.0
BNK00032,2026-07-11,"NEFT CR Gaines, Harrell and ",TXN100030,26458.73,0.0
BNK00120,2026-08-14,"NEFT CR Larson, Dodson and V",TXN100118,8162.62,0.0
BNK00062,2026-06-29,NEFT CR Silva PLC,TXN100060,1868.5,0.0
BNK00175,2026-07-22,"NEFT CR Raymond, Little and ",TXN100173,21675.61,0.0
BNK00028,2026-08-14,NEFT CR Maddox-Valencia,TXN100026,10628.19,0.0
BNK00144,2026-07-08,NEFT CR Martinez Ltd,TXN100142,21934.21,0.0
BNK00132,2026-07-15,NEFT CR Robinson-Graham,TXN100130,12767.1,0.0
BNK00095,2026-08-01,NEFT CR Ramirez-Jones,TXN100093,4043.0,0.0
BNK00391,2026-08-13,NEFT CR Hays-Daniels,TXN100381,21072.34,0.0
BNK00292,2026-08-16,"NEFT CR Glenn, Jordan and Be",TXN100283,23945.68,0.0
BNK00250,2026-07-07,"NEFT CR Davis, Burton and Wi",TXN100242,14450.67,0.0
BNK00359,2026-07-17,NEFT CR Bishop-Goodwin,TXN100350,2654.16,0.0
BNK00466,2026-08-13,"NEFT CR Griffith, Hampton an",TXN100453,31940.33,0.0
BNK00037,2026-07-01,NEFT CR Dennis Inc,TXN100036,29299.87,0.0
BNK00257,2026-07-15,"NEFT CR Ramsey, Whitney and ",TXN100249,21721.5,0.0
BNK00088,2026-08-02,"NEFT CR Brady, Frost and You",TXN100086,10953.84,0.0
BNK00464,2026-06-26,"NEFT CR Wells, Coffey and Pa",TXN100451,44914.76,0.0
BNK00119,2026-07-05,NEFT CR Anderson-Marshall,TXN100117,42091.3,0.0
BNK00194,2026-08-08,"NEFT CR Torres, Powell and N",TXN100191,47338.04,0.0
BNK00301,2026-07-04,"NEFT CR Romero, Moore and Ol",TXN100292,5281.11,0.0
BNK00113,2026-07-24,NEFT CR Drake and Sons,TXN100111,44088.78,0.0
BNK00387,2026-08-16,NEFT CR Li-Thompson,TXN100377,41629.14,0.0
BNK00358,2026-07-10,"NEFT CR Kim, Jenkins and Rho",TXN100349,22051.26,0.0
BNK00485,2026-07-03,NEFT CR Rivera-Kennedy,TXN100472,39750.76,0.0
BNK00425,2026-08-16,"NEFT CR Matthews, Saunders a",TXN100415,21397.99,0.0
BNK00117,2026-06-27,NEFT CR Osborne and Sons,TXN100115,43336.09,0.0
BNK00077,2026-07-04,"NEFT CR Tran, Nelson and Jac",TXN100075,42072.68,0.0
BNK00438,2026-07-09,NEFT CR Perry-Marshall,TXN100428,31081.58,0.0
BNK00176,2026-07-03,NEFT CR Andrews Group,TXN100174,32697.82,0.0
BNK00503,2026-07-19,"NEFT CR Ward, Young and Cont",TXN100489,18714.52,0.0
BNK00472,2026-08-09,"NEFT CR Bennett, Frye and St",TXN100459,6703.7,0.0
BNK00441,2026-08-17,NEFT CR Flores Group,TXN100431,11958.38,0.0
BNK00379,2026-08-20,"NEFT CR Smith, Robertson and",TXN100369,14269.78,0.0
BNK00075,2026-08-14,NEFT CR Contreras PLC,TXN100073,47077.69,0.0
BNK00415,2026-07-25,"NEFT CR Reed, Brown and Dani",TXN100405,37152.51,0.0
BNK00236,2026-08-14,NEFT CR Knight-Sparks,TXN100229,12635.46,0.0
BNK00329,2026-07-10,NEFT CR Garcia LLC,TXN100320,38105.04,0.0
BNK00215,2026-08-16,NEFT CR Reyes PLC,TXN100210,46541.69,0.0
BNK00305,2026-07-19,NEFT CR White Ltd,TXN100296,4379.04,0.0
BNK00428,2026-07-15,NEFT CR Meza-Stone,TXN100418,2547.47,0.0
BNK00107,2026-07-10,"NEFT CR Carroll, Sullivan an",TXN100106,48039.27,0.0
BNK00371,2026-07-15,NEFT CR Flores Inc,TXN100361,32624.21,0.0
BNK00346,2026-07-21,NEFT CR Cummings-Douglas,TXN100338,23241.89,0.0
BNK00468,2026-07-04,NEFT CR Smith LLC,TXN100455,35400.44,0.0
BNK00167,2026-08-04,"NEFT CR Pierce, Bell and Cha",TXN100165,19080.71,0.0
BNK00068,2026-07-24,NEFT CR Baker and Sons,TXN100066,17630.96,0.0
BNK00148,2026-08-19,NEFT CR Hickman PLC,TXN100146,33115.46,0.0
BNK00407,2026-07-08,"NEFT CR Cole, Watson and Wal",TXN100397,1892.73,0.0
BNK00277,2026-07-14,"NEFT CR Robinson, Kane and M",TXN100268,26893.26,0.0
BNK00012,2026-07-29,"NEFT CR Lee, Jones and Stanl",TXN100011,29557.25,0.0
BNK00249,2026-07-18,"NEFT CR Campos, Saunders and",TXN100241,29261.8,0.0
BNK00008,2026-07-20,NEFT CR Lewis LLC,TXN100007,39845.66,0.0
BNK00212,2026-08-07,NEFT CR Holland and Sons,TXN100208,16859.54,0.0
BNK00487,2026-08-02,"NEFT CR Donovan, Johns and W",TXN100474,11976.53,0.0
BNK00145,2026-07-08,"NEFT CR Gould, Marshall and ",TXN100143,38634.96,0.0
BNK00216,2026-08-12,"NEFT CR Suarez, Shields and ",TXN100211,20118.18,0.0
BNK00087,2026-07-03,NEFT CR Deleon-Henson,TXN100085,19896.64,0.0
BNK00155,2026-08-07,"NEFT CR Hernandez, Thompson ",TXN100153,25660.76,0.0
BNK00287,2026-07-04,NEFT CR Joseph-Wallace,TXN100278,42362.42,0.0
BNK00160,2026-07-25,NEFT CR Freeman LLC,TXN100158,21009.54,0.0
BNK00169,2026-07-24,NEFT CR Newton Ltd,TXN100167,23128.87,0.0
BNK00318,2026-07-20,NEFT CR Murphy-Smith,TXN100309,7408.82,0.0
BNK00470,2026-08-02,"NEFT CR Hampton, Knapp and S",TXN100457,32397.77,0.0
BNK00300,2026-08-04,"NEFT CR Williams, Roberts an",TXN100291,42330.1,0.0
BNK00384,2026-07-31,NEFT CR King-Smith,TXN100374,34958.07,0.0
BNK00498,2026-07-11,"NEFT CR Chase, Prince and Wi",TXN100485,44431.84,0.0
BNK00389,2026-08-07,NEFT CR Carter Inc,TXN100379,43456.46,0.0
BNK00129,2026-08-18,NEFT CR Woods-Bender,TXN100127,27392.19,0.0
BNK00024,2026-08-01,NEFT CR Robinson-Bright,TXN100023,13465.68,0.0
BNK00453,2026-07-29,"NEFT CR Hoffman, Cox and Rob",TXN100441,9163.54,0.0
BNK00158,2026-07-02,NEFT CR Keith-Sanchez,TXN100156,29108.3,0.0
BNK00078,2026-07-27,NEFT CR Watts LLC,TXN100076,17897.75,0.0
BNK00349,2026-08-01,NEFT CR Larson Inc,TXN100341,15110.32,0.0
BNK00444,2026-07-06,NEFT CR Wright-Grimes,TXN100433,23465.68,0.0
BNK00335,2026-07-01,NEFT CR Murray-Johnson,TXN100327,9014.18,0.0
BNK00142,2026-07-15,"NEFT CR Jones, Bernard and W",TXN100140,15228.18,0.0
BNK00271,2026-07-03,"NEFT CR Richardson, Winters ",TXN100263,6070.84,0.0
BNK00051,2026-07-26,NEFT CR Wright and Sons,TXN100050,39697.42,0.0
BNK00334,2026-07-23,NEFT CR Vargas-Bell,TXN100326,44545.24,0.0
BNK00021,2026-07-24,NEFT CR Rios Group,TXN100020,13321.04,0.0
BNK00217,2026-08-03,NEFT CR Villa-Romero,TXN100212,33806.87,0.0
BNK00073,2026-07-17,NEFT CR Mitchell-Kim,TXN100071,9360.05,0.0
BNK00230,2026-08-14,NEFT CR Finley-Sims,TXN100223,9214.73,0.0
BNK00133,2026-06-26,NEFT CR Rogers-Shelton,TXN100131,25521.99,0.0
BNK00484,2026-08-14,NEFT CR Little Inc,TXN100471,9207.3,0.0
BNK00427,2026-07-08,NEFT CR Martin-Morris,TXN100417,39657.34,0.0
BNK00308,2026-06-27,NEFT CR Reese and Sons,TXN100299,42891.26,0.0
BNK00058,2026-07-31,NEFT CR House-Glover,TXN100057,11370.44,0.0
BNK00182,2026-08-17,NEFT CR Obrien-Gibbs,TXN100180,10740.54,0.0
BNK00286,2026-06-29,NEFT CR Boone-Simmons,TXN100277,45039.26,0.0
BNK00083,2026-08-04,"NEFT CR Smith, Jones and War",TXN100081,3442.13,0.0
BNK00042,2026-08-05,"NEFT CR Hayes, Wright and Br",TXN100041,42942.19,0.0
BNK00085,2026-08-05,NEFT CR Williams LLC,TXN100083,8052.12,0.0
BNK00156,2026-07-20,"NEFT CR Morton, Medina and W",TXN100154,45036.33,0.0
BNK00342,2026-08-07,NEFT CR Warren-Bishop,TXN100334,4858.88,0.0
BNK00414,2026-07-10,"NEFT CR Wallace, Miller and ",TXN100404,4619.16,0.0
BNK00029,2026-06-25,"NEFT CR Le, Maldonado and He",TXN100027,15667.67,0.0
BNK00258,2026-08-17,NEFT CR Davis-Foster,TXN100250,34124.05,0.0
BNK00222,2026-07-17,"NEFT CR Reyes, Chase and Jen",TXN100216,27137.98,0.0
BNK00302,2026-07-04,NEFT CR Bruce-Richardson,TXN100293,35443.73,0.0
BNK00447,2026-08-08,NEFT CR Koch-Jimenez,TXN100436,48271.98,0.0
BNK00066,2026-07-17,"NEFT CR Wheeler, Harvey and ",TXN100064,12236.69,0.0
BNK00473,2026-08-14,NEFT CR Payne-Lowe,TXN100460,15473.88,0.0
BNK00265,2026-07-23,NEFT CR Wilson-Young,TXN100257,31816.03,0.0
BNK00239,2026-07-16,NEFT CR Little-Stevens,TXN100231,7792.04,0.0
BNK00500,2026-07-07,NEFT CR Morris-Wright,TXN100486,11226.32,0.0
BNK00273,2026-08-07,NEFT CR Bates Ltd,TXN100265,22939.28,0.0
BNK00163,2026-08-02,NEFT CR Peters-Allen,TXN100161,13844.54,0.0
BNK00352,2026-08-12,NEFT CR Smith-Parker,TXN100344,7049.04,0.0
BNK00499,2026-07-16,"NEFT CR Murphy, Morales and ",TXN100485,47347.46,0.0
BNK00210,2026-07-17,"NEFT CR Moore, Pierce and Tr",TXN100206,1867.37,0.0
BNK00211,2026-07-03,NEFT CR Gay Inc,TXN100207,24094.57,0.0
BNK00493,2026-07-04,NEFT CR Mitchell-Hays,TXN100480,47008.95,0.0
BNK00449,2026-07-14,"NEFT CR Gomez, Williams and ",TXN100438,21913.0,0.0
BNK00423,2026-07-06,NEFT CR Day-Cole,TXN100413,37455.62,0.0
BNK00432,2026-08-20,"NEFT CR Moore, Hopkins and L",TXN100422,8747.57,0.0
BNK00303,2026-07-21,"NEFT CR Perez, Patterson and",TXN100294,47611.35,0.0
BNK00306,2026-07-23,NEFT CR Bell-White,TXN100297,42082.69,0.0
BNK00067,2026-08-19,"NEFT CR Mills, Donovan and H",TXN100065,9738.26,0.0
BNK00283,2026-08-06,NEFT CR Palmer-Rodriguez,TXN100274,14558.16,0.0
BNK00240,2026-06-24,NEFT CR Santana-Byrd,TXN100232,4619.16,0.0
BNK00401,2026-07-10,"NEFT CR Wallace, West and Ac",TXN100391,41513.58,0.0
BNK00488,2026-07-14,NEFT CR Morris-Brewer,TXN100475,36726.22,0.0
BNK00496,2026-07-09,"NEFT CR Stevens, Scott and L",TXN100483,34864.79,0.0
BNK00364,2026-07-18,NEFT CR Davidson LLC,TXN100355,12315.75,0.0
BNK00253,2026-08-03,NEFT CR Gonzalez PLC,TXN100245,6055.62,0.0
BNK00122,2026-07-09,"NEFT CR Hensley, Cole and Wa",TXN100120,10082.67,0.0
BNK00072,2026-07-19,NEFT CR Mahoney Inc,TXN100070,9687.35,0.0
BNK00313,2026-08-05,NEFT CR Nelson-Fischer,TXN100304,16252.53,0.0
BNK00356,2026-08-14,NEFT CR Stanley PLC,TXN100347,24166.03,0.0
BNK00115,2026-07-01,NEFT CR Perry-Soto,TXN100113,43268.93,0.0
BNK00261,2026-07-16,NEFT CR Johnson-Henson,TXN100253,29836.76,0.0
BNK00347,2026-07-08,NEFT CR Miller-Alvarado,TXN100339,16319.59,0.0
BNK00455,2026-07-05,NEFT CR Hester Group,TXN100443,29241.91,0.0
BNK00081,2026-06-28,NEFT CR Cook and Sons,TXN100079,24099.88,0.0
BNK00154,2026-08-10,NEFT CR Hamilton LLC,TXN100152,38240.16,0.0
BNK00149,2026-07-30,NEFT CR David-Gonzalez,TXN100147,7651.82,0.0
BNK00278,2026-07-08,"NEFT CR Smith, Garrison and ",TXN100269,43069.06,0.0
BNK00282,2026-07-06,"NEFT CR Fisher, Wilson and B",TXN100273,22894.42,0.0
BNK00034,2026-08-14,NEFT CR George Group,TXN100032,48903.57,0.0
BNK00178,2026-07-18,NEFT CR Wilson-Jones,TXN100176,47868.51,0.0
BNK00164,2026-08-09,"NEFT CR Joseph, West and Smi",TXN100162,30863.93,0.0
BNK00045,2026-07-26,NEFT CR Palmer LLC,TXN100044,25115.51,0.0
BNK00338,2026-06-27,NEFT CR Stout-Armstrong,TXN100330,36642.04,0.0
BNK00089,2026-07-09,NEFT CR Keith Inc,TXN100087,32234.8,0.0
BNK00232,2026-07-21,NEFT CR Francis Group,TXN100225,27168.06,0.0
BNK00038,2026-08-14,NEFT CR Anderson Group,TXN100037,47215.4,0.0
BNK00445,2026-07-09,NEFT CR Peck-Griffith,TXN100434,27707.92,0.0
BNK00063,2026-08-14,NEFT CR Brown PLC,TXN100061,3925.25,0.0
BNK00435,2026-08-03,"NEFT CR Fowler, Jimenez and ",TXN100425,28941.02,0.0
BNK00252,2026-07-06,NEFT CR Browning LLC,TXN100244,32274.33,0.0
BNK00421,2026-06-30,NEFT CR Sanders-Love,TXN100411,11080.99,0.0
BNK00314,2026-07-05,NEFT CR Jordan-Campbell,TXN100305,18684.63,0.0
BNK00110,2026-08-12,NEFT CR Leon-Moyer,TXN100109,44152.35,0.0
