entry_id,txn_ref,amount,entry_date,account_code
ERP00268,TXN100267,22381.03,2026-07-16,4010-SALES-INTL
ERP00269,TXN100268,27686.37,2026-07-13,4010-SALES-INTL
ERP00270,TXN100269,44101.91,2026-07-07,4000-SALES
ERP00271,TXN100270,48670.77,2026-07-05,4000-SALES
ERP00272,TXN100271,35634.25,2026-06-25,4000-SALES
ERP00273,TXN100272,27836.44,2026-08-19,4000-SALES
ERP00274,TXN100273,23341.67,2026-07-05,4020-SUBSCRIPTIONS
ERP00275,TXN100274,14947.15,2026-08-05,4010-SALES-INTL
ERP00276,TXN100275,41818.84,2026-08-10,4000-SALES
ERP00277,TXN100276,23110.93,2026-08-12,4000-SALES
ERP00278,TXN100277,46132.47,2026-06-28,4000-SALES
ERP00279,TXN100278,43269.33,2026-07-03,4010-SALES-INTL
ERP00280,TXN100279,17323.82,2026-06-30,4010-SALES-INTL
ERP00281,TXN100280,41117.2,2026-07-19,4010-SALES-INTL
ERP00282,TXN100281,41955.06,2026-08-13,4020-SUBSCRIPTIONS
ERP00283,TXN100282,24737.2,2026-07-02,4020-SUBSCRIPTIONS
ERP00284,TXN100283,24474.9,2026-08-15,4020-SUBSCRIPTIONS
ERP00285,TXN100284,19171.9,2026-08-02,4000-SALES
ERP00286,TXN100285,49048.34,2026-07-02,4000-SALES
ERP00287,TXN100286,42872.64,2026-07-29,4010-SALES-INTL
ERP00288,TXN100287,37362.91,2026-06-29,4010-SALES-INTL
ERP00289,TXN100288,19610.9,2026-08-03,4020-SUBSCRIPTIONS
ERP00290,TXN100289,49050.5,2026-07-05,4000-SALES
ERP00291,TXN100290,6749.19,2026-07-04,4010-SALES-INTL
ERP00292,TXN100291,43550.17,2026-08-03,4010-SALES-INTL
ERP00293,TXN100292,5435.73,2026-07-03,4000-SALES
ERP00294,TXN100293,36260.97,2026-07-03,4020-SUBSCRIPTIONS
ERP00295,TXN100294,48512.86,2026-07-20,4010-SALES-INTL
ERP00296,TXN100295,17258.78,2026-08-16,4020-SUBSCRIPTIONS
ERP00297,TXN100296,4475.61,2026-07-18,4020-SUBSCRIPTIONS
ERP00298,TXN100297,43037.44,2026-07-22,4010-SALES-INTL
ERP00299,TXN100298,31526.56,2026-07-06,4010-SALES-INTL
ERP00300,TXN100299,43682.96,2026-06-25,4000-SALES
ERP00301,TXN100300,31742.47,2026-07-29,4020-SUBSCRIPTIONS
ERP00302,TXN100301,4973.78,2026-07-23,4020-SUBSCRIPTIONS
ERP00303,TXN100302,35342.6,2026-06-28,4000-SALES
ERP00304,TXN100303,34853.06,2026-06-27,4000-SALES
ERP00305,TXN100304,16556.55,2026-08-04,4010-SALES-INTL
ERP00306,TXN100305,19054.63,2026-07-04,4020-SUBSCRIPTIONS
ERP00307,TXN100306,20896.56,2026-08-19,4000-SALES
ERP00308,TXN100307,8914.19,2026-07-14,4020-SUBSCRIPTIONS
ERP00309,TXN100308,34315.16,2026-07-12,4020-SUBSCRIPTIONS
ERP00310,TXN100309,7584.33,2026-07-17,4010-SALES-INTL
ERP00311,TXN100310,13138.67,2026-08-03,4010-SALES-INTL
ERP00312,TXN100311,34041.74,2026-07-15,4010-SALES-INTL
ERP00313,TXN100312,47289.16,2026-07-31,4010-SALES-INTL
ERP00314,TXN100313,32127.47,2026-07-23,4010-SALES-INTL
ERP00315,TXN100314,23113.37,2026-07-21,4010-SALES-INTL
ERP00316,TXN100315,42740.11,2026-07-09,4020-SUBSCRIPTIONS
ERP00317,TXN100316,18268.48,2026-08-04,4020-SUBSCRIPTIONS
ERP00318,TXN100317,15113.92,2026-07-31,4020-SUBSCRIPTIONS
ERP00319,TXN100318,20092.38,2026-07-14,4020-SUBSCRIPTIONS
ERP00320,TXN100319,39026.42,2026-07-04,4010-SALES-INTL
ERP00321,TXN100320,38899.18,2026-07-07,4000-SALES
ERP00322,TXN100321,32012.58,2026-07-12,4020-SUBSCRIPTIONS
ERP00323,TXN100322,37901.08,2026-07-09,4020-SUBSCRIPTIONS
ERP00324,TXN100323,41997.69,2026-08-09,4020-SUBSCRIPTIONS
ERP00325,TXN100324,2451.42,2026-08-05,4000-SALES
ERP00326,TXN100325,29188.9,2026-07-24,4000-SALES
ERP00327,TXN100326,45526.58,2026-07-22,4010-SALES-INTL
ERP00328,TXN100327,9194.18,2026-06-30,4020-SUBSCRIPTIONS
ERP00329,TXN100328,25338.84,2026-07-28,4000-SALES
ERP00330,TXN100329,13220.02,2026-07-01,4010-SALES-INTL
ERP00331,TXN100330,37454.69,2026-06-26,4000-SALES
ERP00332,TXN100331,23682.4,2026-07-11,4000-SALES
ERP00333,TXN100332,43076.96,2026-06-29,4010-SALES-INTL
ERP00334,TXN100333,48379.85,2026-07-26,4010-SALES-INTL
ERP00335,TXN100334,4969.99,2026-08-04,4020-SUBSCRIPTIONS
ERP00336,TXN100335,6617.64,2026-07-28,4020-SUBSCRIPTIONS
ERP00337,TXN100336,13476.99,2026-07-25,4020-SUBSCRIPTIONS
ERP00338,TXN100337,47044.45,2026-06-29,4000-SALES
ERP00339,TXN100338,23838.1,2026-07-20,4020-SUBSCRIPTIONS
ERP00340,TXN100339,16736.31,2026-07-07,4020-SUBSCRIPTIONS
ERP00341,TXN100340,3629.24,2026-07-26,4020-SUBSCRIPTIONS
ERP00342,TXN100341,15458.41,2026-07-31,4000-SALES
ERP00343,TXN100342,2744.67,2026-07-23,4010-SALES-INTL
ERP00344,TXN100343,6247.96,2026-08-13,4020-SUBSCRIPTIONS
ERP00345,TXN100344,7215.37,2026-08-11,4020-SUBSCRIPTIONS
ERP00346,TXN100345,47494.35,2026-07-13,4010-SALES-INTL
ERP00347,TXN100346,29573.35,2026-07-14,4010-SALES-INTL
ERP00348,TXN100347,24722.68,2026-08-13,4010-SALES-INTL
ERP00349,TXN100348,2119.46,2026-07-05,4010-SALES-INTL
ERP00350,TXN100349,22512.45,2026-07-09,4010-SALES-INTL
ERP00351,TXN100350,5418.05,2026-07-16,4020-SUBSCRIPTIONS
ERP00352,TXN100351,45133.96,2026-08-07,4000-SALES
ERP00353,TXN100352,20207.91,2026-08-04,4010-SALES-INTL
ERP00354,TXN100353,5037.83,2026-08-10,4020-SUBSCRIPTIONS
ERP00355,TXN100354,30058.72,2026-07-06,4010-SALES-INTL
ERP00356,TXN100355,12556.66,2026-07-17,4020-SUBSCRIPTIONS
ERP00357,TXN100356,10657.68,2026-08-15,4020-SUBSCRIPTIONS
ERP00358,TXN100357,40746.12,2026-07-19,4000-SALES
ERP00359,TXN100358,39537.87,2026-08-04,4010-SALES-INTL
ERP00360,TXN100359,42991.1,2026-08-05,4000-SALES
ERP00361,TXN100360,27240.67,2026-07-31,4000-SALES
ERP00362,TXN100361,33222.35,2026-07-14,4000-SALES
ERP00363,TXN100362,18232.99,2026-07-25,4020-SUBSCRIPTIONS
ERP00364,TXN100363,16526.69,2026-08-07,4000-SALES
ERP00365,TXN100364,6774.55,2026-06-23,4000-SALES
ERP00366,TXN100365,37410.43,2026-07-07,4010-SALES-INTL
ERP00367,TXN100366,25905.28,2026-07-20,4020-SUBSCRIPTIONS
ERP00368,TXN100367,11466.71,2026-07-16,4020-SUBSCRIPTIONS
ERP00369,TXN100368,39269.74,2026-06-29,4020-SUBSCRIPTIONS
ERP00370,TXN100369,15430.7,2026-08-19,4010-SALES-INTL
ERP00371,TXN100370,21600.54,2026-07-06,4020-SUBSCRIPTIONS
ERP00372,TXN100371,45530.19,2026-07-16,4000-SALES
ERP00373,TXN100372,16444.54,2026-07-28,4000-SALES
ERP00374,TXN100373,14113.29,2026-08-11,4020-SUBSCRIPTIONS
ERP00375,TXN100374,35751.56,2026-07-30,4020-SUBSCRIPTIONS
ERP00376,TXN100375,26762.56,2026-06-29,4020-SUBSCRIPTIONS
ERP00377,TXN100376,21794.87,2026-07-03,4000-SALES
ERP00378,TXN100377,42713.24,2026-08-15,4020-SUBSCRIPTIONS
ERP00379,TXN100378,36181.58,2026-08-07,4010-SALES-INTL
ERP00380,TXN100379,44460.51,2026-08-06,4010-SALES-INTL
ERP00381,TXN100380,20237.14,2026-07-12,4010-SALES-INTL
ERP00382,TXN100381,21624.82,2026-08-12,4010-SALES-INTL
ERP00383,TXN100382,47702.83,2026-07-17,4010-SALES-INTL
ERP00384,TXN100383,3823.1,2026-07-20,4000-SALES
ERP00385,TXN100384,21877.89,2026-07-25,4010-SALES-INTL
ERP00386,TXN100385,40682.58,2026-07-31,4020-SUBSCRIPTIONS
ERP00387,TXN100386,47852.92,2026-07-11,4020-SUBSCRIPTIONS
ERP00388,TXN100387,6550.45,2026-08-12,4020-SUBSCRIPTIONS
ERP00389,TXN100388,47085.93,2026-06-30,4010-SALES-INTL
ERP00390,TXN100389,30220.3,2026-08-14,4020-SUBSCRIPTIONS
ERP00391,TXN100390,25616.92,2026-07-21,4000-SALES
ERP00392,TXN100391,42440.1,2026-07-09,4020-SUBSCRIPTIONS
ERP00393,TXN100392,18694.27,2026-07-27,4020-SUBSCRIPTIONS
ERP00394,TXN100393,11694.88,2026-06-28,4020-SUBSCRIPTIONS
