settlement_id,txn_ref,gross_amount,fee,tax,refund,net_amount,settled_date
STL00087,TXN100086,12687.66,265.75,47.84,0.0,12374.07,2026-08-02
STL00088,TXN100087,33039.97,682.35,122.82,0.0,32234.8,2026-07-09
STL00089,TXN100088,46767.96,797.05,143.47,0.0,45827.44,2026-07-11
STL00090,TXN100089,16052.1,283.42,51.02,0.0,15717.66,2026-07-18
STL00091,TXN100090,33748.67,607.48,109.35,0.0,33031.84,2026-07-31
STL00092,TXN100091,46486.41,1132.29,203.81,0.0,45150.31,2026-07-13
STL00093,TXN100092,23185.13,579.27,104.27,0.0,22501.59,2026-07-16
STL00094,TXN100093,4126.41,70.69,12.72,0.0,4043.0,2026-08-01
STL00095,TXN100094,7056.6,130.48,23.49,0.0,6902.63,2026-07-21
STL00096,TXN100095,44023.88,823.04,148.15,0.0,43052.69,2026-08-15
STL00097,TXN100096,22190.14,453.39,81.61,0.0,21655.14,2026-07-19
STL00098,TXN100097,26682.56,578.44,104.12,0.0,26000.0,2026-06-27
STL00099,TXN100098,15319.25,331.41,59.65,0.0,14928.19,2026-07-24
STL00100,TXN100099,13591.06,324.79,58.46,0.0,13207.81,2026-08-05
STL00101,TXN100100,8194.67,146.01,26.28,0.0,8022.38,2026-07-12
STL00102,TXN100101,36021.8,613.67,110.46,0.0,35297.67,2026-08-13
STL00103,TXN100102,42719.18,856.69,154.2,0.0,41708.29,2026-07-13
STL00104,TXN100103,45314.16,1063.12,191.36,0.0,44059.68,2026-07-26
STL00105,TXN100104,31897.08,742.99,133.74,0.0,31020.35,2026-07-23
STL00106,TXN100105,675.51,15.34,2.76,0.0,657.41,2026-07-22
STL00107,TXN100106,49000.0,814.18,146.55,0.0,48039.27,2026-07-10
STL00108,TXN100107,27808.18,536.05,96.49,0.0,27175.64,2026-07-23
STL00109,TXN100108,6037.76,147.63,26.57,0.0,5863.56,2026-07-25
STL00110,TXN100109,45244.46,925.52,166.59,0.0,44152.35,2026-08-12
STL00111,TXN100110,21774.44,335.72,60.43,0.0,21378.29,2026-07-26
STL00112,TXN100111,44996.77,769.48,138.51,0.0,44088.78,2026-07-24
STL00113,TXN100112,33513.2,621.23,111.82,0.0,32780.15,2026-06-26
STL00114,TXN100113,44264.67,843.85,151.89,0.0,43268.93,2026-07-01
STL00115,TXN100114,37599.14,912.07,164.17,620.39,35902.51,2026-07-12
STL00116,TXN100115,44130.1,672.89,121.12,0.0,43336.09,2026-06-24
STL00117,TXN100116,39228.13,749.93,134.99,0.0,38343.21,2026-07-11
STL00118,TXN100117,43271.17,999.89,179.98,0.0,42091.3,2026-07-05
STL00119,TXN100118,8380.29,184.47,33.2,0.0,8162.62,2026-08-14
STL00120,TXN100119,43672.26,1030.05,185.41,0.0,42456.8,2026-08-12
STL00121,TXN100120,10378.86,251.01,45.18,0.0,10082.67,2026-07-09
STL00122,TXN100121,15606.95,358.23,64.48,0.0,15184.24,2026-07-20
STL00123,TXN100122,11534.72,249.15,44.85,0.0,11240.72,2026-07-21
STL00124,TXN100123,16748.97,396.0,71.28,0.0,16281.69,2026-08-15
STL00125,TXN100124,17881.73,359.32,64.68,0.0,17457.73,2026-07-31
STL00126,TXN100125,49066.91,999.11,179.84,0.0,47887.96,2026-07-26
STL00127,TXN100126,6209.42,153.4,27.61,0.0,6028.41,2026-07-31
STL00128,TXN100127,29239.19,726.17,130.71,990.12,27392.19,2026-08-18
STL00129,TXN100128,36562.98,663.13,119.36,0.0,35780.49,2026-07-22
STL00130,TXN100129,6224.47,149.36,26.88,0.0,6048.23,2026-08-03
STL00131,TXN100130,13108.76,289.54,52.12,0.0,12767.1,2026-07-15
STL00132,TXN100131,26236.06,605.14,108.93,0.0,25521.99,2026-06-26
STL00133,TXN100132,36111.78,809.61,145.73,0.0,35156.44,2026-08-02
STL00134,TXN100133,18528.96,290.9,52.36,0.0,18185.7,2026-08-14
STL00135,TXN100134,33337.68,541.61,97.49,0.0,32698.58,2026-08-17
STL00136,TXN100135,25602.56,554.78,99.86,0.0,24947.92,2026-08-07
STL00137,TXN100136,20418.82,366.65,66.0,0.0,19986.17,2026-07-25
STL00138,TXN100137,9996.08,216.41,38.95,0.0,9740.72,2026-07-30
STL00139,TXN100138,34027.24,817.61,147.17,0.0,33062.46,2026-07-18
STL00140,TXN100139,28670.71,546.49,98.37,0.0,28025.85,2026-08-15
STL00141,TXN100140,15541.81,265.79,47.84,0.0,15228.18,2026-07-15
STL00142,TXN100141,30529.75,556.33,100.14,0.0,29873.28,2026-06-27
STL00143,TXN100142,22386.91,383.64,69.06,0.0,21934.21,2026-07-08
STL00144,TXN100143,39789.9,978.76,176.18,0.0,38634.96,2026-07-05
STL00145,TXN100144,33113.11,590.67,106.32,0.0,32416.12,2026-07-29
STL00146,TXN100145,31830.57,584.15,105.15,0.0,31141.27,2026-07-05
STL00147,TXN100146,33803.39,582.99,104.94,0.0,33115.46,2026-08-19
STL00148,TXN100147,7794.02,120.51,21.69,0.0,7651.82,2026-07-30
STL00149,TXN100148,30758.06,697.74,125.59,0.0,29934.73,2026-08-20
STL00150,TXN100149,21014.83,447.57,80.56,0.0,20486.7,2026-07-23
STL00151,TXN100150,36058.12,679.33,122.28,0.0,35256.51,2026-06-27
STL00152,TXN100151,32974.87,496.45,89.36,0.0,32389.06,2026-06-30
STL00153,TXN100152,39031.81,670.89,120.76,0.0,38240.16,2026-08-10
STL00154,TXN100153,26138.91,405.21,72.94,0.0,25660.76,2026-08-07
STL00155,TXN100154,45914.77,744.44,134.0,0.0,45036.33,2026-07-20
STL00156,TXN100155,40170.12,870.72,156.73,0.0,39142.67,2026-08-05
STL00157,TXN100156,29974.89,734.4,132.19,0.0,29108.3,2026-07-02
STL00158,TXN100157,30826.29,684.12,123.14,0.0,30019.03,2026-08-08
STL00159,TXN100158,21623.67,520.45,93.68,0.0,21009.54,2026-07-25
STL00160,TXN100159,44911.8,1007.67,181.38,0.0,43722.75,2026-07-19
STL00161,TXN100160,22778.45,512.92,92.33,0.0,22173.2,2026-07-20
STL00162,TXN100161,14226.91,324.04,58.33,0.0,13844.54,2026-08-02
STL00163,TXN100162,31524.05,559.42,100.7,0.0,30863.93,2026-08-09
STL00164,TXN100163,35820.47,621.3,111.83,0.0,35087.34,2026-07-22
STL00165,TXN100164,44704.83,706.59,127.19,0.0,43871.05,2026-07-23
STL00166,TXN100165,19460.25,321.64,57.9,0.0,19080.71,2026-08-04
STL00167,TXN100166,3679.33,70.19,12.63,0.0,3596.51,2026-07-23
STL00168,TXN100167,23563.25,368.12,66.26,0.0,23128.87,2026-07-24
STL00169,TXN100168,19779.1,448.95,80.81,0.0,19249.34,2026-07-11
STL00170,TXN100169,1466.83,34.92,6.29,0.0,1425.62,2026-07-20
STL00171,TXN100170,19328.86,291.07,52.39,775.84,18209.56,2026-07-03
STL00172,TXN100171,27141.92,606.52,109.17,0.0,26426.23,2026-07-11
STL00173,TXN100172,44941.66,893.54,160.84,0.0,43887.28,2026-07-20
STL00174,TXN100173,22073.88,337.52,60.75,0.0,21675.61,2026-07-22
STL00175,TXN100174,33609.24,772.39,139.03,0.0,32697.82,2026-07-03
STL00176,TXN100175,8669.71,170.57,30.7,0.0,8468.44,2026-08-09
STL00177,TXN100176,49045.74,997.65,179.58,0.0,47868.51,2026-07-18
STL00178,TXN100177,29798.69,644.55,116.02,0.0,29038.12,2026-08-10
STL00179,TXN100178,32316.11,528.59,95.15,0.0,31692.37,2026-06-29
STL00180,TXN100179,9495.59,167.14,30.09,0.0,9298.36,2026-07-23
STL00181,TXN100180,10977.18,200.54,36.1,0.0,10740.54,2026-08-17
STL00182,TXN100181,14273.7,349.88,62.98,0.0,13860.84,2026-07-15
STL00183,TXN100182,12987.44,205.45,36.98,0.0,12745.01,2026-08-20
STL00184,TXN100183,37576.7,583.22,104.98,0.0,36888.5,2026-07-14
STL00185,TXN100184,11599.0,181.94,32.75,0.0,11384.31,2026-07-10
STL00186,TXN100185,2492.78,38.17,6.87,0.0,2447.74,2026-08-20
STL00187,TXN100186,10368.35,157.64,28.38,0.0,10182.33,2026-07-21
STL00188,TXN100187,6747.94,146.39,26.35,0.0,6575.2,2026-07-19
STL00189,TXN100188,47413.97,931.7,167.71,0.0,46314.56,2026-07-05
STL00190,TXN100189,38461.46,641.46,115.46,0.0,37704.54,2026-07-07
STL00191,TXN100190,48204.87,1069.36,192.48,0.0,46943.03,2026-08-20
STL00192,TXN100191,48253.68,775.97,139.67,0.0,47338.04,2026-08-08
STL00193,TXN100192,46479.91,964.83,173.67,0.0,45341.41,2026-08-15
STL00194,TXN100193,20134.39,445.98,80.28,757.55,18850.58,2026-08-04
STL00195,TXN100194,12521.04,275.11,49.52,0.0,12196.41,2026-08-18
STL00196,TXN100195,42589.52,894.56,161.02,0.0,41533.94,2026-07-20
STL00197,TXN100196,39240.45,724.85,130.47,0.0,38385.13,2026-08-05
STL00198,TXN100197,33245.31,521.6,93.89,0.0,32629.82,2026-08-10
STL00199,TXN100198,17390.94,408.61,73.55,0.0,16908.78,2026-07-26
STL00200,TXN100199,21959.41,408.93,73.61,0.0,21476.87,2026-07-26
STL00201,TXN100200,35511.78,687.33,123.72,0.0,34700.73,2026-08-01
STL00202,TXN100201,13869.08,320.13,57.62,0.0,13491.33,2026-08-12
STL00203,TXN100202,41373.86,865.74,155.83,0.0,40352.29,2026-08-07
STL00204,TXN100203,42659.8,994.29,178.97,0.0,41486.54,2026-08-11
STL00205,TXN100204,14306.95,279.1,50.24,0.0,13977.61,2026-07-06
STL00206,TXN100205,28707.56,622.43,112.04,0.0,27973.09,2026-07-05
STL00207,TXN100206,1920.65,45.15,8.13,0.0,1867.37,2026-07-17
STL00208,TXN100207,24633.72,456.91,82.24,0.0,24094.57,2026-07-03
STL00209,TXN100208,17346.77,412.91,74.32,0.0,16859.54,2026-08-07
STL00210,TXN100209,44065.31,905.89,163.06,0.0,42996.36,2026-08-11
STL00211,TXN100210,47429.1,752.04,135.37,0.0,46541.69,2026-08-16
STL00212,TXN100211,20618.19,423.74,76.27,0.0,20118.18,2026-08-12
STL00213,TXN100212,34685.16,744.31,133.98,0.0,33806.87,2026-08-03
STL00214,TXN100213,22684.64,344.18,61.95,0.0,22278.51,2026-06-24
STL00215,TXN100214,11469.02,251.38,45.25,0.0,11172.39,2026-08-19
STL00216,TXN100215,23926.39,485.93,87.47,0.0,23352.99,2026-07-30
STL00217,TXN100216,27744.23,513.77,92.48,0.0,27137.98,2026-07-17
STL00218,TXN100217,13910.36,243.63,43.85,0.0,13622.88,2026-07-24
STL00219,TXN100218,36203.57,657.29,118.31,0.0,35427.97,2026-07-08
STL00220,TXN100219,27025.27,611.36,110.04,0.0,26303.87,2026-08-20
STL00221,TXN100220,9981.28,223.44,40.22,0.0,9717.62,2026-08-05
STL00222,TXN100221,38130.29,799.51,143.91,0.0,37186.87,2026-07-08
STL00223,TXN100222,41715.1,749.31,134.88,0.0,40830.91,2026-07-26
STL00224,TXN100223,9382.36,142.06,25.57,0.0,9214.73,2026-08-14
STL00225,TXN100224,6765.86,104.57,18.82,0.0,6642.47,2026-08-10
STL00226,TXN100225,27891.27,612.89,110.32,0.0,27168.06,2026-07-21
STL00227,TXN100226,32074.55,722.57,130.06,0.0,31221.92,2026-07-03
STL00228,TXN100227,43699.63,906.36,163.14,0.0,42630.13,2026-07-23
STL00229,TXN100228,22303.21,375.67,67.62,0.0,21859.92,2026-07-22
STL00230,TXN100229,12997.68,306.97,55.25,0.0,12635.46,2026-08-14
STL00231,TXN100230,4167.07,88.74,15.97,0.0,4062.36,2026-07-31
STL00232,TXN100231,8010.49,185.13,33.32,0.0,7792.04,2026-07-16
STL00233,TXN100232,4716.45,82.45,14.84,0.0,4619.16,2026-06-24
STL00234,TXN100233,38339.95,807.56,145.36,0.0,37387.03,2026-07-09
STL00235,TXN100234,11671.51,236.06,42.49,0.0,11392.96,2026-08-20
STL00236,TXN100235,45470.97,817.27,147.11,0.0,44506.59,2026-07-18
STL00237,TXN100236,49506.55,893.78,160.88,0.0,48451.89,2026-07-31
STL00238,TXN100237,30676.73,687.19,123.69,0.0,29865.85,2026-07-28
STL00239,TXN100238,31462.99,555.21,99.94,0.0,30807.84,2026-08-01
STL00240,TXN100239,8274.33,138.5,24.93,0.0,8110.9,2026-06-28
STL00241,TXN100240,8248.36,157.42,28.34,0.0,8062.6,2026-07-16
STL00242,TXN100241,29893.65,535.47,96.38,0.0,29261.8,2026-07-18
STL00243,TXN100242,14761.19,263.15,47.37,0.0,14450.67,2026-07-07
STL00244,TXN100243,4023.4,69.74,12.55,167.57,3773.54,2026-08-05
STL00245,TXN100244,33228.56,808.67,145.56,0.0,32274.33,2026-07-06
STL00246,TXN100245,6181.43,106.62,19.19,0.0,6055.62,2026-08-03
STL00247,TXN100246,45466.37,1057.83,190.41,0.0,44218.13,2026-07-29
STL00248,TXN100247,3452.08,79.14,14.25,0.0,3358.69,2026-08-09
STL00249,TXN100248,37573.41,777.47,139.94,0.0,36656.0,2026-07-05
STL00250,TXN100249,22238.1,437.8,78.8,0.0,21721.5,2026-07-15
STL00251,TXN100250,35136.82,858.28,154.49,0.0,34124.05,2026-08-17
STL00252,TXN100251,27229.09,527.63,94.97,0.0,26606.49,2026-07-19
STL00253,TXN100252,2473.11,47.78,8.6,0.0,2416.73,2026-07-19
STL00254,TXN100253,30383.83,463.62,83.45,0.0,29836.76,2026-07-16
STL00255,TXN100254,48114.6,1123.94,202.31,0.0,46788.35,2026-08-17
STL00256,TXN100255,49978.83,1085.68,195.42,0.0,48697.73,2026-06-30
STL00257,TXN100256,38273.9,641.16,115.41,0.0,37517.33,2026-08-02
STL00258,TXN100257,32749.72,791.26,142.43,0.0,31816.03,2026-07-23
STL00259,TXN100258,49848.8,965.02,173.7,0.0,48710.08,2026-08-15
STL00260,TXN100259,48468.23,954.83,171.87,1107.13,46234.4,2026-08-15
STL00261,TXN100260,42957.79,786.04,141.49,0.0,42030.26,2026-08-03
STL00262,TXN100261,14766.78,361.08,64.99,0.0,14340.71,2026-07-21
STL00263,TXN100262,23013.88,417.59,75.17,0.0,22521.12,2026-08-06
STL00264,TXN100263,6238.12,141.76,25.52,0.0,6070.84,2026-07-03
STL00265,TXN100264,41333.9,620.48,111.69,0.0,40601.73,2026-06-29
STL00266,TXN100265,23367.83,363.18,65.37,0.0,22939.28,2026-08-07
STL00267,TXN100266,18408.08,415.37,74.77,0.0,17917.94,2026-08-20
STL00268,TXN100267,22381.03,347.27,62.51,0.0,21971.25,2026-07-17
STL00269,TXN100268,27686.37,672.13,120.98,0.0,26893.26,2026-07-14
STL00270,TXN100269,44101.91,875.3,157.55,0.0,43069.06,2026-07-08
STL00271,TXN100270,48670.77,1026.4,184.75,0.0,47459.62,2026-07-06
STL00272,TXN100271,35634.25,645.25,116.14,0.0,34872.86,2026-06-26
STL00273,TXN100272,27836.44,443.49,79.83,0.0,27313.12,2026-08-20
STL00274,TXN100273,23341.67,377.54,67.96,0.0,22896.17,2026-07-06
STL00275,TXN100274,14947.15,329.65,59.34,0.0,14558.16,2026-08-06
STL00276,TXN100275,41818.84,1037.21,186.7,0.0,40594.93,2026-08-11
STL00277,TXN100276,23110.93,380.09,68.42,0.0,22662.42,2026-08-13
STL00278,TXN100277,46132.47,926.45,166.76,0.0,45039.26,2026-06-29
STL00279,TXN100278,43269.33,768.57,138.34,0.0,42362.42,2026-07-04
STL00280,TXN100279,17323.82,396.32,71.34,0.0,16856.16,2026-07-01
STL00281,TXN100280,41117.2,733.05,131.95,0.0,40252.2,2026-07-20
STL00282,TXN100281,41955.06,872.63,157.07,0.0,40925.36,2026-08-14
STL00283,TXN100282,24737.2,407.82,73.41,0.0,24255.97,2026-07-03
STL00284,TXN100283,24474.9,448.49,80.73,0.0,23945.68,2026-08-16
STL00285,TXN100284,19171.9,466.42,83.96,0.0,18621.52,2026-08-03
STL00286,TXN100285,49048.34,852.86,153.51,0.0,48041.97,2026-07-03
STL00287,TXN100286,42872.64,819.2,147.46,0.0,41905.98,2026-07-30
STL00288,TXN100287,37362.91,823.94,148.31,0.0,36390.66,2026-06-30
STL00289,TXN100288,19610.9,424.32,76.38,0.0,19110.2,2026-08-04
STL00290,TXN100289,49050.5,978.72,176.17,0.0,47895.61,2026-07-06
STL00291,TXN100290,6749.19,166.39,29.95,0.0,6552.85,2026-07-05
STL00292,TXN100291,43550.17,1033.96,186.11,0.0,42330.1,2026-08-04
STL00293,TXN100292,5435.73,131.03,23.59,0.0,5281.11,2026-07-04
STL00294,TXN100293,36260.97,692.58,124.66,0.0,35443.73,2026-07-04
STL00295,TXN100294,48512.86,763.99,137.52,0.0,47611.35,2026-07-21
STL00296,TXN100295,17258.78,378.43,68.12,0.0,16812.23,2026-08-17
STL00297,TXN100296,4475.61,81.84,14.73,0.0,4379.04,2026-07-19
STL00298,TXN100297,43037.44,809.11,145.64,0.0,42082.69,2026-07-23
STL00299,TXN100298,31526.56,752.68,135.48,0.0,30638.4,2026-07-07
STL00300,TXN100299,43682.96,670.93,120.77,0.0,42891.26,2026-06-26
STL00301,TXN100300,31742.47,768.46,138.32,0.0,30835.69,2026-07-30
STL00302,TXN100301,4973.78,123.27,22.19,0.0,4828.32,2026-07-24
STL00303,TXN100302,35342.6,565.66,101.82,0.0,34675.12,2026-06-29
STL00304,TXN100303,34853.06,837.67,150.78,0.0,33864.61,2026-06-28
STL00305,TXN100304,16556.55,257.64,46.38,0.0,16252.53,2026-08-05
STL00306,TXN100305,19054.63,313.56,56.44,0.0,18684.63,2026-07-05
STL00307,TXN100306,20896.56,455.92,82.07,0.0,20358.57,2026-08-20
STL00308,TXN100307,8914.19,140.75,25.33,0.0,8748.11,2026-07-15
STL00309,TXN100308,34315.16,685.5,123.39,0.0,33506.27,2026-07-13
STL00310,TXN100309,7584.33,148.74,26.77,0.0,7408.82,2026-07-18
STL00311,TXN100310,13138.67,198.31,35.7,0.0,12904.66,2026-08-04
STL00312,TXN100311,34041.74,564.4,101.59,0.0,33375.75,2026-07-16
STL00313,TXN100312,47289.16,1176.39,211.75,0.0,45901.02,2026-08-01
STL00314,TXN100313,32127.47,618.23,111.28,0.0,31397.96,2026-07-24
STL00315,TXN100314,23113.37,416.53,74.98,0.0,22621.86,2026-07-22
STL00316,TXN100315,42740.11,686.69,123.6,0.0,41929.82,2026-07-10
STL00317,TXN100316,18268.48,328.08,59.05,0.0,17881.35,2026-08-05
STL00318,TXN100317,15113.92,374.51,67.41,0.0,14672.0,2026-08-01
STL00319,TXN100318,20092.38,303.01,54.54,0.0,19734.83,2026-07-15
STL00320,TXN100319,39026.42,965.36,173.76,0.0,37887.3,2026-07-05
STL00321,TXN100320,38899.18,673.0,121.14,0.0,38105.04,2026-07-08
STL00322,TXN100321,32012.58,678.95,122.21,0.0,31211.42,2026-07-13
STL00323,TXN100322,37901.08,859.4,154.69,0.0,36886.99,2026-07-10
STL00324,TXN100323,41997.69,893.82,160.89,0.0,40942.98,2026-08-10
STL00325,TXN100324,2451.42,56.1,10.1,0.0,2385.22,2026-08-06
STL00326,TXN100325,29188.9,651.6,117.29,0.0,28420.01,2026-07-25
STL00327,TXN100326,45526.58,831.64,149.7,0.0,44545.24,2026-07-23
STL00328,TXN100327,9194.18,150.06,27.01,0.0,9017.11,2026-07-01
STL00329,TXN100328,25338.84,449.14,80.85,0.0,24808.85,2026-07-29
STL00330,TXN100329,13220.02,307.32,55.32,0.0,12857.38,2026-07-02
STL00331,TXN100330,37454.69,688.69,123.96,0.0,36642.04,2026-06-27
STL00332,TXN100331,23682.4,373.07,67.15,0.0,23242.18,2026-07-12
STL00333,TXN100332,43076.96,958.12,172.46,0.0,41946.38,2026-06-30
STL00334,TXN100333,48379.85,1114.96,200.69,0.0,47064.2,2026-07-27
STL00335,TXN100334,4969.99,94.16,16.95,0.0,4858.88,2026-08-05
STL00336,TXN100335,6617.64,123.66,22.26,0.0,6471.72,2026-07-29
STL00337,TXN100336,13476.99,253.51,45.63,0.0,13177.85,2026-07-26
STL00338,TXN100337,47044.45,756.64,136.2,0.0,46151.61,2026-06-30
STL00339,TXN100338,23838.1,505.26,90.95,0.0,23241.89,2026-07-21
STL00340,TXN100339,16736.31,353.15,63.57,0.0,16319.59,2026-07-08
STL00341,TXN100340,3629.24,84.34,15.18,0.0,3529.72,2026-07-27
STL00342,TXN100341,15458.41,294.99,53.1,0.0,15110.32,2026-08-01
STL00343,TXN100342,2744.67,42.19,7.59,0.0,2694.89,2026-07-24
STL00344,TXN100343,6247.96,108.39,19.51,0.0,6120.06,2026-08-14
STL00345,TXN100344,7215.37,140.96,25.37,0.0,7049.04,2026-08-12
STL00346,TXN100345,47494.35,1043.21,187.78,0.0,46263.36,2026-07-14
STL00347,TXN100346,29573.35,658.48,118.53,0.0,28796.34,2026-07-15
