txn_ref,proposed_bank_ids,matcher_method,matcher_confidence,verifier_verdict,verifier_confidence,reason,escalated_to_llm
TXN100066,BNK00068,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100067,BNK00069,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100068,BNK00070,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100069,BNK00071,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100070,BNK00072,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100071,BNK00073,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100073,BNK00075,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100074,BNK00076,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100075,BNK00077,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100076,BNK00078,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100077,BNK00079,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100078,BNK00080,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100079,BNK00081,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100080,BNK00082,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100081,BNK00083,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100082,BNK00084,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100084,BNK00086,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100085,BNK00087,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100087,BNK00089,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100088,BNK00090,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100089,BNK00091,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100090,BNK00092,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100091,BNK00093,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100092,BNK00094,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100093,BNK00095,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100094,BNK00096,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100095,BNK00097,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100097,BNK00099,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100100,BNK00101,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100101,BNK00102,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100102,BNK00103,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100103,BNK00104,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100104,BNK00105,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100105,BNK00106,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100106,BNK00107,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100107,BNK00108,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100108,BNK00109,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100111,BNK00113,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100112,BNK00114,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100113,BNK00115,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100114,BNK00116,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100116,BNK00118,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100117,BNK00119,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100118,BNK00120,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100119,BNK00121,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100120,BNK00122,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100121,BNK00123,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100122,BNK00124,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100123,BNK00125,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100124,BNK00126,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100125,BNK00127,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100126,BNK00128,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100127,BNK00129,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100129,BNK00131,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100130,BNK00132,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100131,BNK00133,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100133,BNK00135,llm-stub,0.8,RECONCILED,0.97,Rs.1.33 gap fully explainable by standard fee/tax/refund rounding.,False
TXN100134,BNK00136,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100135,BNK00137,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100136,BNK00138,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100137,BNK00139,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100138,BNK00140,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100139,BNK00141,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100140,BNK00142,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100141,BNK00143,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100142,BNK00144,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100144,BNK00146,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100145,BNK00147,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100146,BNK00148,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100147,BNK00149,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100148,BNK00150,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100149,BNK00151,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100151,BNK00153,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100152,BNK00154,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100153,BNK00155,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100154,BNK00156,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100155,BNK00157,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100156,BNK00158,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100157,BNK00159,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100158,BNK00160,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100159,BNK00161,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100160,BNK00162,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100161,BNK00163,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100162,BNK00164,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100165,BNK00167,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100166,BNK00168,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100167,BNK00169,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100168,BNK00170,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100169,BNK00171,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100170,BNK00172,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100171,BNK00173,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100172,BNK00174,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100173,BNK00175,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100174,BNK00176,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100175,BNK00177,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100176,BNK00178,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100177,BNK00179,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100178,BNK00180,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100179,BNK00181,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100180,BNK00182,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100181,BNK00183,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100182,BNK00184;BNK00185,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100183,BNK00186,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100184,BNK00187,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100185,BNK00188,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100187,BNK00190,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100188,BNK00191,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100189,BNK00192,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100190,BNK00193,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100191,BNK00194,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100192,BNK00195,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100193,BNK00196,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100194,BNK00197,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100196,BNK00199,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100197,BNK00200,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100199,BNK00202,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100201,BNK00205,llm-stub,0.8,RECONCILED,0.97,Rs.1.71 gap fully explainable by standard fee/tax/refund rounding.,False
TXN100202,BNK00206,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100203,BNK00207,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100204,BNK00208,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100205,BNK00209,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100206,BNK00210,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100207,BNK00211,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100208,BNK00212,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100209,BNK00213;BNK00214,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100210,BNK00215,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100211,BNK00216,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100212,BNK00217,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100213,BNK00218,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100216,BNK00222,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100217,BNK00223,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100218,BNK00224,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100219,BNK00225,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100221,BNK00228,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100222,BNK00229,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100223,BNK00230,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100224,BNK00231,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100225,BNK00232,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100226,BNK00233,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100228,BNK00235,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100230,BNK00238,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100231,BNK00239,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100232,BNK00240,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100233,BNK00241,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100234,BNK00242,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100235,BNK00243,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100237,BNK00245,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100238,BNK00246,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100239,BNK00247,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100240,BNK00248,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100241,BNK00249,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100242,BNK00250,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100243,BNK00251,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100244,BNK00252,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100245,BNK00253,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100246,BNK00254,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100247,BNK00255,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100248,BNK00256,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100249,BNK00257,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100250,BNK00258,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100251,BNK00259,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100252,BNK00260,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100253,BNK00261,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100256,BNK00264,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100257,BNK00265,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100258,BNK00266,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100259,BNK00267,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100262,BNK00270,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100263,BNK00271,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100264,BNK00272,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100265,BNK00273,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100266,BNK00274,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100267,BNK00276;BNK00275,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100268,BNK00277,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
